,Recency,Recency,Recency,Recency,Frequency,Frequency,Frequency,Frequency,Monetary,Monetary,Monetary,Monetary,TotalQuantity,TotalQuantity,TotalQuantity,TotalQuantity,AverageOrderValue,AverageOrderValue,AverageOrderValue,AverageOrderValue,UniqueProducts,UniqueProducts,UniqueProducts,UniqueProducts,UniqueCategories,UniqueCategories,UniqueCategories,UniqueCategories,ReturnRate,ReturnRate,ReturnRate,ReturnRate,CancellationRate,CancellationRate,CancellationRate,CancellationRate,AverageDiscount,AverageDiscount,AverageDiscount,AverageDiscount,ActiveDays,ActiveDays,ActiveDays,ActiveDays
,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std
customer_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16454,943.78,970.0,500.15,16454,1.2,1.0,0.4,16454,1012.7,827.6,766.19,16454,3.42,3.0,1.74,16454,873.45,676.99,681.25,16454,1.2,1.0,0.4,16454,1.15,1.0,0.35,16454,0.03,0.0,0.16,16454,0.0,0.0,0.0,16454,0.07,0.05,0.08,16454,48.68,1.0,125.56
1,17218,456.78,391.0,336.14,17218,2.48,2.0,0.55,17218,2157.46,2080.39,1024.85,17218,7.28,7.0,2.33,17218,894.15,832.83,455.16,17218,2.44,2.0,0.55,17218,2.16,2.0,0.55,17218,0.03,0.0,0.12,17218,0.01,0.0,0.06,17218,0.07,0.07,0.05,17218,806.97,787.0,418.7
2,8255,338.03,263.0,285.49,8255,4.26,4.0,0.96,8255,4346.52,4219.4,1524.78,8255,13.51,13.0,3.49,8255,1055.74,1012.76,395.01,8255,4.13,4.0,0.94,8255,3.28,3.0,0.76,8255,0.03,0.0,0.08,8255,0.03,0.0,0.08,8255,0.07,0.07,0.04,8255,1144.09,1179.0,360.18
3,1306,712.15,648.5,479.68,1306,1.75,2.0,0.56,1306,1634.71,1473.68,1085.2,1306,5.3,5.0,2.5,1306,938.29,836.76,595.85,1306,1.73,2.0,0.56,1306,1.61,2.0,0.54,1306,0.01,0.0,0.06,1306,0.66,0.5,0.23,1306,0.07,0.05,0.07,1306,425.08,255.0,461.87
